과목명,교과군,과목유형,학교지정,학년선택,비고_전문_고시외_표6,선택군_코드,편성학점,1-1_학점,1-2_학점,2-1_학점,2-2_학점,3-1_학점,3-2_학점,1-1_선택군_코드,1-2_선택군_코드,2-1_선택군_코드,2-2_선택군_코드,3-1_선택군_코드,3-2_선택군_코드
공통국어1,국 어,공통,True,,,,3,3,,,,,,,,,,,
공통국어2,국 어,공통,True,,,,3,,3,,,,,,,,,,
문학,국 어,일반,True,,,,3,,,3,,,,,,,,,
공통수학1,수 학,공통,True,,,,3,3,,,,,,,,,,,
공통수학2,수 학,공통,True,,,,3,,3,,,,,,,,,,
대수,수 학,일반,True,,,,3,,,3,,,,,,,,,
공통영어1,영 어,공통,True,,,,3,3,,,,,,,,,,,
공통영어2,영 어,공통,True,,,,3,,3,,,,,,,,,,
영어Ⅰ,영 어,일반,True,,,,3,,,3,,,,,,,,,
한국사1,사 회,공통,True,,,,3,3,,,,,,,,,,,
한국사2,사 회,공통,True,,,,3,,3,,,,,,,,,,
통합사회1,사 회,공통,True,,2학점 부족,,3,3,,,,,,,,,,,
통합사회2,사 회,공통,True,,1과목 선택,,3,,3,,,,,,,,,,
통합과학1,과 학,공통,True,,"2학점 부족
1과목 선택",,3,3,,,,,,,,,,,
통합과학2,과 학,공통,True,,,,3,,3,,,,,,,,,,
과학탐구실험1,과 학,공통,True,,,,1,1,,,,,,,,,,,
과학탐구실험2,과 학,공통,True,,,,1,,1,,,,,,,,,,
체육1,체 육,일반,True,,,,2,2,,,,,,,,,,,
체육2,체 육,일반,True,,,,2,,2,,,,,,,,,,
스포츠 문화,체 육,진로,True,,,,1,,,1,,,,,,,,,
스포츠 과학,체 육,진로,True,,,,1,,,,1,,,,,,,,
스포츠 생활1,체 육,융합,True,,,,2,,,,,2,,,,,,,
스포츠 생활2,체 육,융합,True,,,,2,,,,,,2,,,,,,
음악 이론,예 술,진로,True,,,,3,,,3,,,,,,,,,
음악사,예 술,진로,True,,,,3,,,,,3,,,,,,,
시창·청음,예 술,진로,True,,,,3,,,,3,,,,,,,,
음악 전공 실기,예 술,진로,True,,,,5,5,,,,,,,,,,,
음악 공연 실습,예 술,진로,True,,,,3,,,3,,,,,,,,,
음악 전공 실기1,예 술,진로(고시외),True,,,,5,,5,,,,,,,,,,
음악전공실기의 실제Ⅰ,예 술,진로(고시외),True,,,,4,,,4,,,,,,,,,
음악전공실기의 실제Ⅱ,예 술,진로(고시외),True,,,,4,,,,4,,,,,,,,
음악전공실기의 실제Ⅲ,예 술,진로(고시외),True,,,,4,,,,,4,,,,,,,
음악전공실기의 실제Ⅳ,예 술,진로(고시외),True,,,,4,,,,,,4,,,,,,
공연실습1,예 술,진로(고시외),True,,,,4,,,,4,,,,,,,,
공연실습2,예 술,진로(고시외),True,,,,4,,,,,4,,,,,,,
공연실습3,예 술,진로(고시외),True,,,,3,,,,,,3,,,,,,
음악 이론 심화,예 술,진로(고시외),True,,,,3,,,,3,,,,,,,,
시창·청음 심화,예 술,진로(고시외),True,,,,2,,,,,,2,,,,,,
합창·합주3,예 술,진로(고시외),True,,,,3,,,3,,,,,,,,,
합창·합주4,예 술,진로(고시외),True,,,,3,,,,3,,,,,,,,
합창·합주의 실제1,예 술,진로(고시외),True,,,,4,,,,,4,,,,,,,
합창·합주의 실제2,예 술,진로(고시외),True,,,,4,,,,,,4,,,,,,
정보,기술·가정/정보,일반,True,,"12학점 부족
4과목 선택",,4,,,4,,,,,,,,,
합창1,예 술,진로(고시외),,True,,1-1-1학년선택-1,3,3,,,,,,1-1-1학년선택-1,,,,,
합주1,예 술,진로(고시외),,True,,1-1-1학년선택-1,3,3,,,,,,1-1-1학년선택-1,,,,,
합창2,예 술,진로(고시외),,True,,1-2-1학년선택-1,3,,3,,,,,,1-2-1학년선택-1,,,,
합주2,예 술,진로(고시외),,True,,1-2-1학년선택-1,3,,3,,,,,,1-2-1학년선택-1,,,,
화법과 언어,국 어,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
확률과 통계,수 학,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
영어Ⅱ,영 어,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
세계시민과 지리,사 회,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
세계사,사 회,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
현대사회와 윤리,사 회,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
정치,사 회,진로,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
기술·가정,기술·가정/정보,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
중국어,제2외국어/한문,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
일본어,제2외국어/한문,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
한문,제2외국어/한문,일반,,True,,2-1-2학년선택-1,3,,,3,3,,,,,2-1-2학년선택-1,2-2-2학년선택-4,,
독서와 작문,국 어,일반,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
실용 통계,수 학,융합,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
영어 독해와 작문,영 어,일반,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
사회와 문화,사 회,일반,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
여행 지리,사 회,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
동아시아 역사 기행,사 회,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
윤리문제 탐구,사 회,융합,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
물리학,과학,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
화학,과학,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
생명과학,과학,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
지구과학,과학,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
기후변화와 환경생태,과학,융합,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
지식 재산 일반,기술·가정/정보,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
중국어 회화,제2외국어/한문,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
일본어 회화,제2외국어/한문,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
중국 문화,제2외국어/한문,융합,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
일본 문화,제2외국어/한문,융합,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
보건,교양,진로,,True,,3-1-3학년선택-4,3,,,,,3,3,,,,,3-1-3학년선택-4,3-2-3학년선택-4
